MUNICÍPIO DO FATO;REGIAO GEOGRÁFICA;NATUREZA;DATA DO FATO;ANO;SEXO;IDADE SENASP;TOTAL DE ENVOLVIDOS
RECIFE;RECIFE;ESTUPRO POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;11/01/2015;2015;FEMININO;6) 35-64;1
SALOA;AGRESTE;ESTUPRO;11/01/2015;2015;FEMININO;2) 12-17;1
SIRINHAEM;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;11/01/2015;2015;FEMININO;1) 00-11;1
LAGOA GRANDE;SERTÃO;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;12/01/2015;2015;FEMININO;1) 00-11;1
PALMEIRINA;AGRESTE;ESTUPRO;12/01/2015;2015;MASCULINO;2) 12-17;1
PALMEIRINA;AGRESTE;ESTUPRO;12/01/2015;2015;MASCULINO;6) 35-64;1
PESQUEIRA;AGRESTE;ESTUPRO;12/01/2015;2015;FEMININO;3) 18-24;1
RECIFE;RECIFE;ESTUPRO;12/01/2015;2015;MASCULINO;3) 18-24;1
RECIFE;RECIFE;ESTUPRO;12/01/2015;2015;MASCULINO;6) 35-64;1
SERRA TALHADA;SERTÃO;ESTUPRO;12/01/2015;2015;FEMININO;3) 18-24;1
CABO DE SANTO AGOSTINHO;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;13/01/2015;2015;FEMININO;2) 12-17;1
JABOATAO DOS GUARARAPES;REGIÃO METROPOLITANA;ESTUPRO;13/01/2015;2015;FEMININO;4) 25-29;1
LAGOA GRANDE;SERTÃO;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;13/01/2015;2015;FEMININO;(vazio);1
OLINDA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;13/01/2015;2015;FEMININO;2) 12-17;1
PAUDALHO;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;13/01/2015;2015;FEMININO;1) 00-11;1
RECIFE;RECIFE;ESTUPRO;13/01/2015;2015;FEMININO;6) 35-64;2
CARUARU;AGRESTE;ESTUPRO;14/01/2015;2015;FEMININO;4) 25-29;1
ITAPISSUMA;REGIÃO METROPOLITANA;ESTUPRO;14/01/2015;2015;FEMININO;3) 18-24;1
PAULISTA;REGIÃO METROPOLITANA;ESTUPRO;14/01/2015;2015;MASCULINO;3) 18-24;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;14/01/2015;2015;FEMININO;2) 12-17;1
AFOGADOS DA INGAZEIRA;SERTÃO;ESTUPRO;15/01/2015;2015;MASCULINO;2) 12-17;2
CARUARU;AGRESTE;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;15/01/2015;2015;FEMININO;1) 00-11;1
CORTES;ZONA DA MATA;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;15/01/2015;2015;FEMININO;3) 18-24;1
IPOJUCA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;15/01/2015;2015;FEMININO;1) 00-11;1
IPOJUCA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;15/01/2015;2015;FEMININO;3) 18-24;1
IPOJUCA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;15/01/2015;2015;FEMININO;(vazio);2
RECIFE;RECIFE;ESTUPRO;15/01/2015;2015;FEMININO;2) 12-17;1
RECIFE;RECIFE;ESTUPRO;15/01/2015;2015;FEMININO;3) 18-24;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL;15/01/2015;2015;FEMININO;3) 18-24;1
AFOGADOS DA INGAZEIRA;SERTÃO;ESTUPRO DE VULNERÁVEL;16/01/2015;2015;MASCULINO;1) 00-11;1
PANELAS;AGRESTE;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;16/01/2015;2015;FEMININO;6) 35-64;1
PAULISTA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;16/01/2015;2015;FEMININO;1) 00-11;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL;16/01/2015;2015;FEMININO;1) 00-11;2
SAO BENTO DO UNA;AGRESTE;ESTUPRO DE VULNERÁVEL;16/01/2015;2015;FEMININO;(vazio);1
TAMANDARE;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;16/01/2015;2015;FEMININO;1) 00-11;1
CARUARU;AGRESTE;ESTUPRO DE VULNERÁVEL;17/01/2015;2015;FEMININO;2) 12-17;1
IGARASSU;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;17/01/2015;2015;FEMININO;1) 00-11;1
JABOATAO DOS GUARARAPES;REGIÃO METROPOLITANA;ESTUPRO;17/01/2015;2015;FEMININO;(vazio);1
PAULISTA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;17/01/2015;2015;FEMININO;1) 00-11;1
PETROLINA;SERTÃO;ESTUPRO;17/01/2015;2015;DESCONHECIDO;3) 18-24;1
PETROLINA;SERTÃO;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;17/01/2015;2015;FEMININO;2) 12-17;1
RECIFE;RECIFE;ESTUPRO;17/01/2015;2015;FEMININO;3) 18-24;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL;17/01/2015;2015;MASCULINO;1) 00-11;1
SALGUEIRO;SERTÃO;ESTUPRO DE VULNERÁVEL;17/01/2015;2015;MASCULINO;1) 00-11;1
CABO DE SANTO AGOSTINHO;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;18/01/2015;2015;FEMININO;1) 00-11;1
JABOATAO DOS GUARARAPES;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;18/01/2015;2015;FEMININO;2) 12-17;1
OLINDA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;18/01/2015;2015;FEMININO;2) 12-17;1
PEDRA;AGRESTE;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;18/01/2015;2015;FEMININO;1) 00-11;1
SAO LOURENCO DA MATA;REGIÃO METROPOLITANA;ESTUPRO;18/01/2015;2015;FEMININO;4) 25-29;1
CAMOCIM DE SAO FELIX;AGRESTE;ESTUPRO;19/01/2015;2015;MASCULINO;2) 12-17;1
GARANHUNS;AGRESTE;ESTUPRO;19/01/2015;2015;FEMININO;6) 35-64;1
JABOATAO DOS GUARARAPES;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;19/01/2015;2015;FEMININO;1) 00-11;1
JABOATAO DOS GUARARAPES;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;19/01/2015;2015;MASCULINO;1) 00-11;1
PAULISTA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;19/01/2015;2015;FEMININO;2) 12-17;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL;19/01/2015;2015;MASCULINO;1) 00-11;1
VENTUROSA;AGRESTE;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;19/01/2015;2015;FEMININO;1) 00-11;1
CARUARU;AGRESTE;ESTUPRO POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;20/01/2015;2015;FEMININO;6) 35-64;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL;20/01/2015;2015;FEMININO;1) 00-11;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL;20/01/2015;2015;FEMININO;2) 12-17;1
GAMELEIRA;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;21/01/2015;2015;FEMININO;3) 18-24;1
PAULISTA;REGIÃO METROPOLITANA;ESTUPRO;21/01/2015;2015;FEMININO;6) 35-64;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL;21/01/2015;2015;FEMININO;1) 00-11;2
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;21/01/2015;2015;MASCULINO;2) 12-17;1
CABO DE SANTO AGOSTINHO;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;22/01/2015;2015;FEMININO;2) 12-17;1
CABO DE SANTO AGOSTINHO;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;22/01/2015;2015;FEMININO;2) 12-17;1
IPOJUCA;REGIÃO METROPOLITANA;ESTUPRO;22/01/2015;2015;FEMININO;3) 18-24;2
IPOJUCA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;22/01/2015;2015;FEMININO;2) 12-17;1
LIMOEIRO;AGRESTE;ESTUPRO;22/01/2015;2015;FEMININO;4) 25-29;1
OLINDA;REGIÃO METROPOLITANA;ESTUPRO;22/01/2015;2015;FEMININO;6) 35-64;1
OLINDA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;22/01/2015;2015;FEMININO;2) 12-17;1
RECIFE;RECIFE;ESTUPRO;22/01/2015;2015;FEMININO;2) 12-17;1
RECIFE;RECIFE;ESTUPRO;22/01/2015;2015;FEMININO;3) 18-24;1
IPOJUCA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;23/01/2015;2015;FEMININO;2) 12-17;1
PESQUEIRA;AGRESTE;ESTUPRO DE VULNERÁVEL;23/01/2015;2015;FEMININO;1) 00-11;2
PESQUEIRA;AGRESTE;ESTUPRO DE VULNERÁVEL;23/01/2015;2015;FEMININO;4) 25-29;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL;23/01/2015;2015;MASCULINO;2) 12-17;1
CARUARU;AGRESTE;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;24/01/2015;2015;FEMININO;1) 00-11;1
RECIFE;RECIFE;ESTUPRO POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;24/01/2015;2015;FEMININO;6) 35-64;1
SAO VICENTE FERRER;AGRESTE;ESTUPRO;24/01/2015;2015;FEMININO;3) 18-24;1
RECIFE;RECIFE;ESTUPRO;25/01/2015;2015;FEMININO;2) 12-17;1
RECIFE;RECIFE;ESTUPRO;25/01/2015;2015;FEMININO;6) 35-64;1
GOIANA;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;26/01/2015;2015;FEMININO;2) 12-17;1
JABOATAO DOS GUARARAPES;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;26/01/2015;2015;FEMININO;2) 12-17;1
LAGOA DO CARRO;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;26/01/2015;2015;MASCULINO;2) 12-17;1
PAULISTA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;26/01/2015;2015;FEMININO;3) 18-24;1
RECIFE;RECIFE;ESTUPRO;26/01/2015;2015;FEMININO;2) 12-17;1
RECIFE;RECIFE;ESTUPRO;26/01/2015;2015;MASCULINO;2) 12-17;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;26/01/2015;2015;FEMININO;1) 00-11;1
SAO VICENTE FERRER;AGRESTE;ESTUPRO POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;26/01/2015;2015;FEMININO;5) 30-34;1
ABREU E LIMA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;27/01/2015;2015;FEMININO;1) 00-11;1
JUREMA;AGRESTE;ESTUPRO DE VULNERÁVEL;27/01/2015;2015;MASCULINO;1) 00-11;1
OLINDA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;27/01/2015;2015;FEMININO;1) 00-11;1
RECIFE;RECIFE;ESTUPRO;27/01/2015;2015;FEMININO;3) 18-24;1
SURUBIM;AGRESTE;ESTUPRO;27/01/2015;2015;FEMININO;(vazio);2
CABO DE SANTO AGOSTINHO;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;28/01/2015;2015;MASCULINO;2) 12-17;1
CARUARU;AGRESTE;ESTUPRO;28/01/2015;2015;FEMININO;3) 18-24;1
JABOATAO DOS GUARARAPES;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;28/01/2015;2015;FEMININO;1) 00-11;1
PAUDALHO;ZONA DA MATA;ESTUPRO;28/01/2015;2015;FEMININO;4) 25-29;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL;28/01/2015;2015;FEMININO;2) 12-17;1
SALGUEIRO;SERTÃO;ESTUPRO DE VULNERÁVEL;28/01/2015;2015;FEMININO;2) 12-17;1
SANTA CRUZ DO CAPIBARIBE;AGRESTE;ESTUPRO;28/01/2015;2015;FEMININO;2) 12-17;1
SAO CAETANO;AGRESTE;ESTUPRO DE VULNERÁVEL;28/01/2015;2015;FEMININO;1) 00-11;1
VITORIA DE SANTO ANTAO;ZONA DA MATA;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;28/01/2015;2015;FEMININO;1) 00-11;1
ALIANCA;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;29/01/2015;2015;FEMININO;2) 12-17;1
CARUARU;AGRESTE;ESTUPRO;29/01/2015;2015;FEMININO;3) 18-24;1
PRIMAVERA;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;29/01/2015;2015;FEMININO;(vazio);1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL;29/01/2015;2015;FEMININO;1) 00-11;1
RECIFE;RECIFE;ESTUPRO POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;29/01/2015;2015;FEMININO;3) 18-24;1
SALGUEIRO;SERTÃO;ESTUPRO DE VULNERÁVEL;29/01/2015;2015;FEMININO;1) 00-11;1
VITORIA DE SANTO ANTAO;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;29/01/2015;2015;FEMININO;1) 00-11;1
AMARAJI;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;30/01/2015;2015;FEMININO;2) 12-17;1
CAMARAGIBE;REGIÃO METROPOLITANA;ESTUPRO;30/01/2015;2015;FEMININO;2) 12-17;1
JABOATAO DOS GUARARAPES;REGIÃO METROPOLITANA;ESTUPRO;30/01/2015;2015;FEMININO;5) 30-34;1
OLINDA;REGIÃO METROPOLITANA;ESTUPRO;30/01/2015;2015;FEMININO;4) 25-29;1
PAULISTA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;30/01/2015;2015;FEMININO;1) 00-11;1
PAULISTA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;30/01/2015;2015;FEMININO;2) 12-17;1
POMBOS;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;30/01/2015;2015;FEMININO;2) 12-17;1
RECIFE;RECIFE;ESTUPRO POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;30/01/2015;2015;FEMININO;1) 00-11;1
GARANHUNS;AGRESTE;ESTUPRO;31/01/2015;2015;FEMININO;4) 25-29;1
PAULISTA;REGIÃO METROPOLITANA;ESTUPRO POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;31/01/2015;2015;FEMININO;3) 18-24;1
SANTA CRUZ DO CAPIBARIBE;AGRESTE;ESTUPRO DE VULNERÁVEL;31/01/2015;2015;FEMININO;1) 00-11;1
SERRA TALHADA;SERTÃO;ESTUPRO DE VULNERÁVEL;31/01/2015;2015;FEMININO;2) 12-17;1
TRINDADE;SERTÃO;ESTUPRO;31/01/2015;2015;FEMININO;3) 18-24;1
VERTENTES;AGRESTE;ESTUPRO DE VULNERÁVEL;31/01/2015;2015;MASCULINO;2) 12-17;1
